"from","to","type"
"P01023","P12259","io"
"P01023","O43915","io"
"P01023","Q92520","io"
"P01023","P29622","io"
"P01023","P49765","io"
"P01023","P10124","io"
"P01023","P01133","io"
"P01023","P01033","io"
"P01023","Q99969","io"
"P01023","P02775","io"
"P01023","P14210","io"
"P01023","P02679","io"
"P01023","P02751","io"
"P01023","P01009","io"
"P01023","Q08380","io"
"P01023","Q9UNF1","io"
"P01023","P01344","io"
"P01023","P49908","io"
"P01023","Q9NXH8","io"
"P01023","P01137","io"
"P01023","P04085","io"
"P01023","P04196","io"
"P01023","P04275","io"
"P01023","Q14393","io"
"P01023","Q06033","io"
"P01023","Q13201","io"
"P01023","P02749","io"
"P01023","P07996","io"
"P01023","P05019","io"
"P01023","P56202","io"
"P01023","P10600","io"
"P01023","P15692","io"
"P01023","P61812","io"
"P01023","O00292","io"
"P01023","Q14624","io"
"P01023","Q9UEU0","io"
"P01023","Q8NBM8","io"
"P01023","P04075","io"
"P01023","P05121","io"
"P01023","P62328","io"
"P01023","P02671","io"
"P01023","Q6UXV4","io"
"P01023","P05155","io"
"P01023","P04217","io"
"P01023","Q9NTK5","io"
"P01023","Q8NBX0","io"
"P01023","P01042","io"
"P01023","P12814","io"
"P01023","P02776","io"
"P01023","P01127","io"
"P01023","Q7L3B6","io"
"P01023","Q9Y6I9","io"
"P01023","P49767","io"
"P01023","P02675","io"
"P01023","O00391","io"
"P01023","P03952","io"
"P01023","P00746","io"
"P01023","P05067","io"
"P01023","P10909","io"
"P01023","P02768","io"
"P01023","P02765","io"
"P01023","P01011","io"
"P01023","P35625","io"
"P01023","P09486","io"
"P01023","P07225","io"
"P01023","Q9NUQ9","io"
"P01023","Q9BX10","io"
"P01023","P05452","io"
"P01023","P00747","io"
"P01023","P00451","io"
"P01023","O43707","io"
"P04217","P05452","io"
"P04217","O00292","io"
"P04217","O43707","io"
"P04217","P02675","io"
"P04217","P02751","io"
"P04217","Q14624","io"
"P04217","Q9BX10","io"
"P04217","P01137","io"
"P04217","P01009","io"
"P04217","P01011","io"
"P04217","P04075","io"
"P04217","P00746","io"
"P04217","P29622","io"
"P04217","O43915","io"
"P04217","P49767","io"
"P04217","P07996","io"
"P04217","P00488","io"
"P04217","Q92520","io"
"P04217","P02768","io"
"P04217","P01344","io"
"P04217","P35625","io"
"P04217","P12814","io"
"P04217","Q8NBM8","io"
"P04217","Q9UNF1","io"
"P04217","Q9NUQ9","io"
"P04217","P02775","io"
"P04217","P56202","io"
"P04217","Q06033","io"
"P04217","P08697","io"
"P04217","P02776","io"
"P04217","P14210","io"
"P04217","Q08380","io"
"P04217","P04196","io"
"P04217","P10909","io"
"P04217","Q14393","io"
"P04217","Q6UXV4","io"
"P04217","P49908","io"
"P04217","P00747","io"
"P04217","Q9NTK5","io"
"P04217","P10124","io"
"P04217","Q7L3B6","io"
"P04217","P02765","io"
"P04217","P05067","io"
"P04217","Q9NXH8","io"
"P04217","P05019","io"
"P04217","P02749","io"
"P04217","P01033","io"
"P04217","Q13201","io"
"P04217","P01133","io"
"P04217","P49765","io"
"P04217","Q8NBF2","io"
"P04217","Q99969","io"
"P04217","Q8NBX0","io"
"P04217","P04275","io"
"P04217","Q9Y6I9","io"
"P04217","P01042","io"
"P04217","Q86UX7","io"
"P04217","Q9UEU0","io"
"P04217","P02763","io"
"P04217","P01127","io"
"P04217","P61812","io"
"P04217","P19652","io"
"P04217","Q16610","io"
"P04217","P09486","io"
"P04217","P00451","io"
"P04217","P07225","io"
"P04217","O00391","io"
"P04217","P05155","io"
"P04217","P15692","io"
"P04217","P10600","io"
"P04217","P12259","io"
"P04217","P04085","io"
"P04217","P35609","io"
"P04217","O14498","io"
"P04217","P62328","io"
"P04217","P02679","io"
"P04217","P01023","io"
"P04217","P05121","io"
"P04217","Q13103","io"
"P04217","P02671","io"
"P08697","O14498","io"
"P08697","Q9BX10","io"
"P08697","P56202","io"
"P08697","P10600","io"
"P08697","P04085","io"
"P08697","P35625","io"
"P08697","P01344","io"
"P08697","P00488","io"
"P08697","P05452","io"
"P08697","P15692","io"
"P08697","P01009","io"
"P08697","Q08380","io"
"P08697","Q14624","io"
"P08697","P02671","io"
"P08697","P02679","io"
"P08697","O43707","io"
"P08697","Q9NXH8","io"
"P08697","P07996","io"
"P08697","Q8NBF2","io"
"P08697","Q86UX7","io"
"P08697","P19652","io"
"P08697","Q7L3B6","io"
"P08697","O00292","io"
"P08697","P00746","io"
"P08697","P49767","io"
"P08697","P02763","io"
"P08697","P02776","io"
"P08697","P02749","io"
"P08697","P02768","io"
"P08697","Q16610","io"
"P08697","Q99969","io"
"P08697","P05019","io"
"P08697","P05067","io"
"P08697","O00391","io"
"P08697","P49765","io"
"P08697","Q9Y6I9","io"
"P08697","Q14393","io"
"P08697","P01127","io"
"P08697","P01033","io"
"P08697","P02765","io"
"P08697","P02675","io"
"P08697","P04075","io"
"P08697","Q92520","io"
"P08697","P01133","io"
"P08697","P12259","io"
"P08697","P04217","io"
"P08697","P61812","io"
"P08697","P04196","io"
"P08697","Q9UNF1","io"
"P08697","Q06033","io"
"P08697","P29622","io"
"P08697","P04275","io"
"P08697","P02775","io"
"P08697","P01042","io"
"P08697","Q8NBM8","io"
"P08697","Q8NBX0","io"
"P08697","Q13201","io"
"P08697","P02751","io"
"P08697","P10124","io"
"P08697","P10909","io"
"P08697","P01023","io"
"P08697","P01137","io"
"P08697","P49908","io"
"P08697","P00747","io"
"P08697","O43915","io"
"P08697","Q9UEU0","io"
"P08697","Q13103","io"
"P08697","Q9NUQ9","io"
"P08697","P01011","io"
"P08697","P62328","io"
"P08697","P09486","io"
"P08697","P35609","io"
"P08697","P05121","io"
"P08697","Q9NTK5","io"
"P08697","P12814","io"
"P08697","Q6UXV4","io"
"P08697","P07225","io"
"P08697","P14210","io"
"P08697","P00451","io"
"P08697","P05155","io"
"P05067","P04196","io"
"P05067","P09486","io"
"P05067","Q16610","io"
"P05067","P02675","io"
"P05067","P49908","io"
"P05067","Q9Y287","io"
"P05067","P05019","io"
"P05067","P05121","io"
"P05067","P0DJI8","io"
"P05067","P10600","io"
"P05067","O43915","io"
"P05067","Q8NBF2","io"
"P05067","P04217","io"
"P05067","Q9BX10","io"
"P05067","A1E959","io"
"P05067","P10997","io"
"P05067","P00488","io"
"P05067","P02679","io"
"P05067","P04275","io"
"P05067","P02788","io"
"P05067","P02775","io"
"P05067","Q92520","io"
"P05067","Q9NXH8","io"
"P05067","P37840","io"
"P05067","P07996","io"
"P05067","P10124","io"
"P05067","P01011","io"
"P05067","P01034","io"
"P05067","P61626","io"
"P05067","Q8NBM8","io"
"P05067","P01023","io"
"P05067","O00391","io"
"P05067","P04085","io"
"P05067","P02776","io"
"P05067","P02751","io"
"P05067","Q08380","io"
"P05067","P02766","io"
"P05067","P35625","io"
"P05067","P02647","io"
"P05067","P02671","io"
"P05067","O43707","io"
"P05067","P01308","io"
"P05067","P15692","io"
"P05067","Q99969","io"
"P05067","Q06033","io"
"P05067","Q9UEU0","io"
"P05067","P12814","io"
"P05067","Q9NTK5","io"
"P05067","Q9Y6I9","io"
"P05067","P04075","io"
"P05067","P00451","io"
"P05067","O14498","io"
"P05067","P19652","io"
"P05067","Q9NUQ9","io"
"P05067","P61769","io"
"P05067","P12259","io"
"P05067","P01033","io"
"P05067","Q7L3B6","io"
"P05067","P01042","io"
"P05067","Q14624","io"
"P05067","P02743","io"
"P05067","P01137","io"
"P05067","P10909","io"
"P05067","P05155","io"
"P05067","Q13201","io"
"P05067","Q6UXV4","io"
"P05067","Q13103","io"
"P05067","P02768","io"
"P05067","P01009","io"
"P05067","O00292","io"
"P05067","P02749","io"
"P05067","P49765","io"
"P05067","Q8NBX0","io"
"P05067","P61812","io"
"P05067","P02763","io"
"P05067","P01133","io"
"P05067","P06396","io"
"P05067","P56202","io"
"P05067","P98160","io"
"P05067","P06727","io"
"P05067","Q14393","io"
"P05067","Q08431","io"
"P05067","Q9UNF1","io"
"P05067","P01258","io"
"P05067","P01160","io"
"P05067","P05452","io"
"P05067","Q15582","io"
"P05067","P00746","io"
"P05067","P08697","io"
"P05067","P02765","io"
"P05067","P01236","io"
"P05067","P62328","io"
"P05067","P01127","io"
"P05067","P35609","io"
"P05067","Q86UX7","io"
"P05067","P07225","io"
"P05067","P29622","io"
"P05067","P49767","io"
"P05067","P14210","io"
"P05067","P01344","io"
"P05067","P04279","io"
"P05067","P00747","io"
"P02763","P04275","io"
"P02763","P12814","io"
"P02763","P02768","io"
"P02763","P02775","io"
"P02763","P12259","io"
"P02763","O43915","io"
"P02763","P02679","io"
"P02763","Q14624","io"
"P02763","P10600","io"
