"from","to","type"
"Q01718","P01189","io"
"P46663","P01042","io"
"P46663","P30411","io"
"P30411","P46663","io"
"P30411","P01042","io"
"P0C0L4","P0C0L5","io"
"P0C0L5","P0C0L4","io"
"P01189","Q01718","io"
"P68871","P69905","io"
"P68871","P00738","io"
"P00738","P68871","io"
"P00738","P69905","io"
"P69905","P00738","io"
"P69905","P68871","io"
"P01042","P30411","io"
"P01042","P46663","io"
"P02746","P0C0L4","co"
"P02746","P0C0L5","co"
"P00736","P0C0L5","co"
"P00736","P0C0L4","co"
"P02745","P0C0L4","co"
"P02745","P0C0L5","co"
"P02747","P0C0L5","co"
"P02747","P0C0L4","co"
"P09871","P0C0L5","co"
"P09871","P0C0L4","co"
"Q9Y6Z7","P0C0L4","co"
"Q9Y6Z7","P0C0L5","co"
"Q9BWP8","P0C0L4","co"
"Q9BWP8","P0C0L5","co"
"P01597","P0C0L5","co"
"P01597","P0C0L4","co"
"P06310","P0C0L5","co"
"P06310","P0C0L4","co"
"P04433","P0C0L4","co"
"P04433","P0C0L5","co"
"P01611","P0C0L4","co"
"P01611","P0C0L5","co"
"P01614","P0C0L4","co"
"P01614","P0C0L5","co"
"Q15485","P0C0L4","co"
"Q15485","P0C0L5","co"
"O75636","P0C0L4","co"
"O75636","P0C0L5","co"
"O00602","P0C0L4","co"
"O00602","P0C0L5","co"
"P01780","P0C0L5","co"
"P01780","P0C0L4","co"
"P01763","P0C0L5","co"
"P01763","P0C0L4","co"
"P01825","P0C0L4","co"
"P01825","P0C0L5","co"
"P01743","P0C0L4","co"
"P01743","P0C0L5","co"
"P01766","P0C0L4","co"
"P01766","P0C0L5","co"
"P01814","P0C0L5","co"
"P01814","P0C0L4","co"
"P01768","P0C0L4","co"
"P01768","P0C0L5","co"
"P01817","P0C0L4","co"
"P01817","P0C0L5","co"
"P01762","P0C0L5","co"
"P01762","P0C0L4","co"
"P01764","P0C0L5","co"
"P01764","P0C0L4","co"
"P01824","P0C0L5","co"
"P01824","P0C0L4","co"
"P01782","P0C0L4","co"
"P01782","P0C0L5","co"
"P01742","P0C0L5","co"
"P01742","P0C0L4","co"
"P01772","P0C0L5","co"
"P01772","P0C0L4","co"
"P01767","P0C0L5","co"
"P01767","P0C0L4","co"
"P01859","P0C0L4","co"
"P01859","P0C0L5","co"
"P01861","P0C0L5","co"
"P01861","P0C0L4","co"
"P01834","P0C0L5","co"
"P01834","P0C0L4","co"
"A0M8Q6","P0C0L5","co"
"A0M8Q6","P0C0L4","co"
"P06331","P0C0L5","co"
"P06331","P0C0L4","co"
"P01860","P0C0L4","co"
"P01860","P0C0L5","co"
"P0CG04","P0C0L5","co"
"P0CG04","P0C0L4","co"
"P01857","P0C0L5","co"
"P01857","P0C0L4","co"
"P0CF74","P0C0L4","co"
"P0CF74","P0C0L5","co"
"Q93100","P06737","co"
"Q93100","P11217","co"
"P01615","P0C0L4","co"
"P01615","P0C0L5","co"
"P01624","P0C0L4","co"
"P01624","P0C0L5","co"
"P06315","P0C0L4","co"
"P06315","P0C0L5","co"
"P01594","P0C0L5","co"
"P01594","P0C0L4","co"
"A2NJV5","P0C0L5","co"
"A2NJV5","P0C0L4","co"
"P01593","P0C0L5","co"
"P01593","P0C0L4","co"
"P46019","P06737","co"
"P46020","P11217","co"
"P04430","P0C0L4","co"
"P04430","P0C0L5","co"
"P01599","P0C0L4","co"
"P01599","P0C0L5","co"
"P01602","P0C0L5","co"
"P01602","P0C0L4","co"
"P01619","P0C0L4","co"
"P01619","P0C0L5","co"
"P06312","P0C0L4","co"
"P06312","P0C0L5","co"
"P01601","P0C0L5","co"
"P01601","P0C0L4","co"
"P04432","P0C0L4","co"
"P04432","P0C0L5","co"
"P01700","P0C0L5","co"
"P01700","P0C0L4","co"
"P01714","P0C0L5","co"
"P01714","P0C0L4","co"
"P01721","P0C0L5","co"
"P01721","P0C0L4","co"
"P01701","P0C0L5","co"
"P01701","P0C0L4","co"
"P48740","P0C0L5","co"
"P48740","P0C0L4","co"
"P01706","P0C0L4","co"
"P01706","P0C0L5","co"
"P01715","P0C0L5","co"
"P01715","P0C0L4","co"
"P01717","P0C0L4","co"
"P01717","P0C0L5","co"
"P01718","P0C0L5","co"
"P01718","P0C0L4","co"
"P01703","P0C0L4","co"
"P01703","P0C0L5","co"
"P01709","P0C0L5","co"
"P01709","P0C0L4","co"
"P01705","P0C0L4","co"
"P01705","P0C0L5","co"
"P80748","P0C0L4","co"
"P80748","P0C0L5","co"
"O00187","P0C0L4","co"
"O00187","P0C0L5","co"
"P01699","P0C0L5","co"
"P01699","P0C0L4","co"
"P01704","P0C0L4","co"
"P01704","P0C0L5","co"
"P04211","P0C0L4","co"
"P04211","P0C0L5","co"
"P11226","P0C0L4","co"
"P11226","P0C0L5","co"
"P29120","P01189","co"
"P15735","P06737","co"
"Q16816","P11217","co"
"Q9NV23","P49327","co"
