"from","to","type"
"Q01718","P01189","io"
"P04114","P06727","io"
"P04114","P02652","io"
"P04114","P02649","io"
"P04114","P02656","io"
"P04114","P02655","io"
"P04114","P02647","io"
"P02656","P06727","io"
"P02656","P04114","io"
"P02656","P02649","io"
"P02656","P02655","io"
"P02656","P02647","io"
"P02656","P02652","io"
"P10523","P08100","io"
"P06727","P02655","io"
"P06727","P02652","io"
"P06727","P04114","io"
"P06727","P02656","io"
"P06727","P02649","io"
"P06727","P02647","io"
"P02649","P06727","io"
"P02649","P02652","io"
"P02649","P02655","io"
"P02649","P02656","io"
"P02649","P02647","io"
"P02649","P04114","io"
"P02647","P02655","io"
"P02647","P06727","io"
"P02647","P02652","io"
"P02647","P02649","io"
"P02647","P04114","io"
"P02647","P02656","io"
"P02652","P04114","io"
"P02652","P02649","io"
"P02652","P02647","io"
"P02652","P06727","io"
"P02652","P02655","io"
"P02652","P02656","io"
"P02655","P04114","io"
"P02655","P02647","io"
"P02655","P02656","io"
"P02655","P02649","io"
"P02655","P06727","io"
"P02655","P02652","io"
"P06576","P56134","io"
"P06576","P56381","io"
"P06576","P56385","io"
"P06576","P05496","io"
"P06576","O75964","io"
"P06576","P25705","io"
"P06576","O75947","io"
"P06576","P03928","io"
"P06576","P36542","io"
"P06576","Q99766","io"
"P06576","P00846","io"
"P06576","P18859","io"
"P06576","Q06055","io"
"P06576","P48047","io"
"P06576","P30049","io"
"P06576","P48201","io"
"P06576","P24539","io"
"P56381","P48047","io"
"P56381","P56385","io"
"P56381","P48201","io"
"P56381","Q99766","io"
"P56381","P36542","io"
"P56381","P05496","io"
"P56381","O75964","io"
"P56381","P56134","io"
"P56381","P06576","io"
"P56381","P03928","io"
"P56381","P30049","io"
"P56381","P18859","io"
"P56381","P24539","io"
"P56381","Q06055","io"
"P56381","O75947","io"
"P56381","P00846","io"
"P56381","P25705","io"
"P24539","P56381","io"
"P24539","P03928","io"
"P24539","P56385","io"
"P24539","P06576","io"
"P24539","O75964","io"
"P24539","P18859","io"
"P24539","P48201","io"
"P24539","Q99766","io"
"P24539","P48047","io"
"P24539","P30049","io"
"P24539","Q06055","io"
"P24539","O75947","io"
"P24539","P56134","io"
"P24539","P36542","io"
"P24539","P05496","io"
"P24539","P00846","io"
"P24539","P25705","io"
"Q99766","O75947","io"
"Q99766","P18859","io"
"Q99766","P56134","io"
"Q99766","Q06055","io"
"Q99766","P56381","io"
"Q99766","P05496","io"
"Q99766","P00846","io"
"Q99766","P25705","io"
"Q99766","O75964","io"
"Q99766","P24539","io"
"Q99766","P30049","io"
"Q99766","P48047","io"
"Q99766","P56385","io"
"Q99766","P48201","io"
"Q99766","P36542","io"
"Q99766","P03928","io"
"Q99766","P06576","io"
"P00846","P48201","io"
"P00846","P30049","io"
"P00846","P18859","io"
"P00846","P24539","io"
"P00846","P48047","io"
"P00846","P03928","io"
"P00846","Q06055","io"
"P00846","P56385","io"
"P00846","P56134","io"
"P00846","Q99766","io"
"P00846","P25705","io"
"P00846","P06576","io"
"P00846","O75947","io"
"P00846","O75964","io"
"P00846","P36542","io"
"P00846","P56381","io"
"P00846","P05496","io"
"P48201","P18859","io"
"P48201","Q06055","io"
"P48201","O75964","io"
"P48201","P30049","io"
"P48201","O75947","io"
"P48201","Q99766","io"
"P48201","P00846","io"
"P48201","P25705","io"
"P48201","P03928","io"
"P48201","P48047","io"
"P48201","P06576","io"
"P48201","P56381","io"
"P48201","P05496","io"
"P48201","P36542","io"
"P48201","P24539","io"
"P48201","P56134","io"
"P48201","P56385","io"
"O75947","O75964","io"
"O75947","P00846","io"
"O75947","P03928","io"
"O75947","P18859","io"
"O75947","Q99766","io"
"O75947","P05496","io"
"O75947","P56134","io"
"O75947","P56381","io"
"O75947","P56385","io"
"O75947","P36542","io"
"O75947","P25705","io"
"O75947","P24539","io"
"O75947","P30049","io"
"O75947","P06576","io"
"O75947","P48201","io"
"O75947","P48047","io"
"O75947","Q06055","io"
"P05496","Q06055","io"
"P05496","P48047","io"
"P05496","Q99766","io"
"P05496","P56381","io"
"P05496","P48201","io"
"P05496","O75947","io"
"P05496","O75964","io"
"P05496","P56134","io"
"P05496","P03928","io"
"P05496","P25705","io"
"P05496","P00846","io"
"P05496","P36542","io"
"P05496","P18859","io"
"P05496","P24539","io"
"P05496","P06576","io"
"P05496","P30049","io"
"P05496","P56385","io"
"Q06055","P56381","io"
"Q06055","P05496","io"
"Q06055","P56134","io"
"Q06055","O75964","io"
"Q06055","P24539","io"
"Q06055","P03928","io"
"Q06055","P18859","io"
"Q06055","P30049","io"
"Q06055","P48047","io"
"Q06055","Q99766","io"
"Q06055","P06576","io"
"Q06055","P36542","io"
"Q06055","P25705","io"
"Q06055","P48201","io"
"Q06055","P00846","io"
"Q06055","P56385","io"
"Q06055","O75947","io"
"P30049","P05496","io"
"P30049","P00846","io"
"P30049","P06576","io"
"P30049","Q06055","io"
"P30049","Q99766","io"
"P30049","P36542","io"
"P30049","P03928","io"
"P30049","P48201","io"
"P30049","P48047","io"
"P30049","P56381","io"
"P30049","P25705","io"
"P30049","P24539","io"
"P30049","O75964","io"
"P30049","P56385","io"
"P30049","P18859","io"
"P30049","P56134","io"
"P30049","O75947","io"
"P56134","Q99766","io"
"P56134","P30049","io"
"P56134","P24539","io"
"P56134","P05496","io"
"P56134","Q06055","io"
"P56134","P48201","io"
"P56134","P03928","io"
"P56134","P48047","io"
"P56134","O75947","io"
"P56134","P36542","io"
"P56134","O75964","io"
"P56134","P00846","io"
"P56134","P56381","io"
"P56134","P56385","io"
"P56134","P06576","io"
"P56134","P18859","io"
"P56134","P25705","io"
"P56385","P18859","io"
"P56385","P36542","io"
"P56385","O75947","io"
"P56385","P24539","io"
"P56385","P56381","io"
"P56385","P48047","io"
"P56385","P00846","io"
"P56385","P06576","io"
"P56385","P30049","io"
"P56385","P56134","io"
"P56385","O75964","io"
"P56385","P03928","io"
"P56385","P05496","io"
"P56385","P25705","io"
"P56385","Q06055","io"
"P56385","P48201","io"
"P56385","Q99766","io"
"O75964","P56381","io"
"O75964","P56385","io"
"O75964","P03928","io"
"O75964","P06576","io"
"O75964","P30049","io"
"O75964","P24539","io"
"O75964","P56134","io"
"O75964","P25705","io"
"O75964","Q06055","io"
"O75964","P48047","io"
"O75964","P00846","io"
"O75964","P48201","io"
"O75964","Q99766","io"
"O75964","P18859","io"
"O75964","O75947","io"
"O75964","P36542","io"
"O75964","P05496","io"
"P25705","P48047","io"
"P25705","P48201","io"
"P25705","Q06055","io"
"P25705","P56385","io"
"P25705","P56381","io"
"P25705","P18859","io"
"P25705","P30049","io"
"P25705","O75947","io"
"P25705","P00846","io"
"P25705","P36542","io"
"P25705","P24539","io"
"P25705","P06576","io"
"P25705","P03928","io"
"P25705","Q99766","io"
"P25705","P05496","io"
"P25705","O75964","io"
"P25705","P56134","io"
"P18859","P03928","io"
"P18859","P36542","io"
"P18859","P56381","io"
"P18859","P24539","io"
"P18859","O75964","io"
"P18859","P25705","io"
"P18859","O75947","io"
"P18859","P06576","io"
"P18859","P56385","io"
"P18859","P48201","io"
"P18859","P05496","io"
"P18859","P30049","io"
"P18859","P56134","io"
"P18859","Q06055","io"
"P18859","Q99766","io"
"P18859","P00846","io"
"P18859","P48047","io"
"P48047","O75964","io"
"P48047","P24539","io"
"P48047","P00846","io"
"P48047","P25705","io"
"P48047","P48201","io"
"P48047","P56381","io"
"P48047","O75947","io"
"P48047","P03928","io"
"P48047","P56134","io"
"P48047","Q99766","io"
"P48047","P18859","io"
"P48047","P56385","io"
"P48047","P36542","io"
