"from","to","type"
"Q01718","P01189","io"
"P46663","P30411","io"
"P46663","P01042","io"
"P30411","P01042","io"
"P30411","P46663","io"
"Q02388","A6NMZ7","io"
"Q02388","P02461","io"
"Q02388","Q14050","io"
"Q02388","P08123","io"
"Q02388","P13942","io"
"Q02388","P20849","io"
"Q02388","Q96A83","io"
"Q02388","Q96P44","io"
"Q02388","P12107","io"
"Q02388","P53420","io"
"Q02388","Q14031","io"
"Q02388","Q17RW2","io"
"Q02388","P25940","io"
"Q02388","P27658","io"
"Q02388","Q8IZC6","io"
"Q02388","Q99715","io"
"Q02388","P02462","io"
"Q02388","P12110","io"
"Q02388","P29400","io"
"Q02388","P39060","io"
"Q02388","Q14055","io"
"Q02388","Q03692","io"
"Q02388","P39059","io"
"Q02388","Q9BXS0","io"
"Q02388","Q5TAT6","io"
"Q02388","Q07092","io"
"Q02388","P12111","io"
"Q02388","P08572","io"
"Q02388","P12109","io"
"Q02388","Q2UY09","io"
"Q02388","Q9UMD9","io"
"Q02388","P07237","io"
"Q02388","A8TX70","io"
"Q02388","Q14993","io"
"Q02388","P25067","io"
"Q02388","Q9P218","io"
"Q02388","Q05707","io"
"Q02388","P05997","io"
"Q02388","P02458","io"
"Q02388","Q86Y22","io"
"Q02388","Q01955","io"
"Q02388","Q8NFW1","io"
"Q02388","P02452","io"
"Q02388","P20908","io"
"P12107","P02461","io"
"P12107","Q02388","io"
"P12107","P39060","io"
"P12107","P20849","io"
"P12107","Q96P44","io"
"P12107","P12110","io"
"P12107","Q01955","io"
"P12107","Q9P218","io"
"P12107","Q9UMD9","io"
"P12107","Q96A83","io"
"P12107","P29400","io"
"P12107","P12111","io"
"P12107","Q8IZC6","io"
"P12107","Q17RW2","io"
"P12107","Q14055","io"
"P12107","P02458","io"
"P12107","P25940","io"
"P12107","Q14050","io"
"P12107","P53420","io"
"P12107","Q03692","io"
"P12107","P07237","io"
"P12107","P08123","io"
"P12107","Q05707","io"
"P12107","P02462","io"
"P12107","A6NMZ7","io"
"P12107","P02452","io"
"P12107","P05997","io"
"P12107","A8TX70","io"
"P12107","P39059","io"
"P12107","Q07092","io"
"P12107","Q2UY09","io"
"P12107","P13942","io"
"P12107","Q8NFW1","io"
"P12107","Q86Y22","io"
"P12107","Q14031","io"
"P12107","Q9BXS0","io"
"P12107","P20908","io"
"P12107","Q14993","io"
"P12107","P12109","io"
"P12107","P25067","io"
"P12107","P08572","io"
"P12107","P27658","io"
"P12107","Q99715","io"
"P12107","Q5TAT6","io"
"P12109","P25067","io"
"P12109","Q8IZC6","io"
"P12109","P02461","io"
"P12109","Q2UY09","io"
"P12109","Q14050","io"
"P12109","Q05707","io"
"P12109","P20849","io"
"P12109","P29400","io"
"P12109","Q01955","io"
"P12109","P13942","io"
"P12109","P12111","io"
"P12109","P53420","io"
"P12109","Q8NFW1","io"
"P12109","P07237","io"
"P12109","Q9BXS0","io"
"P12109","Q07092","io"
"P12109","Q96P44","io"
"P12109","Q14993","io"
"P12109","P39060","io"
"P12109","P08572","io"
"P12109","Q03692","io"
"P12109","Q5TAT6","io"
"P12109","P05997","io"
"P12109","P08123","io"
"P12109","P12107","io"
"P12109","A8TX70","io"
"P12109","P39059","io"
"P12109","P02458","io"
"P12109","Q99715","io"
"P12109","Q86Y22","io"
"P12109","P20908","io"
"P12109","P12110","io"
"P12109","P25940","io"
"P12109","Q17RW2","io"
"P12109","Q14031","io"
"P12109","Q14055","io"
"P12109","Q9UMD9","io"
"P12109","P27658","io"
"P12109","P02452","io"
"P12109","Q96A83","io"
"P12109","P02462","io"
"P12109","Q9P218","io"
"P12109","Q02388","io"
"P12109","A6NMZ7","io"
"P13942","P02462","io"
"P13942","Q9BXS0","io"
"P13942","P05997","io"
"P13942","P12111","io"
"P13942","Q96P44","io"
"P13942","P27658","io"
"P13942","Q8IZC6","io"
"P13942","Q14031","io"
"P13942","P08572","io"
"P13942","P02458","io"
"P13942","P20908","io"
"P13942","Q05707","io"
"P13942","Q02388","io"
"P13942","Q14055","io"
"P13942","Q96A83","io"
"P13942","P07237","io"
"P13942","P25067","io"
"P13942","Q01955","io"
"P13942","Q9UMD9","io"
"P13942","P53420","io"
"P13942","Q8NFW1","io"
"P13942","Q99715","io"
"P13942","Q2UY09","io"
"P13942","P08123","io"
"P13942","P20849","io"
"P13942","Q14050","io"
"P13942","P02461","io"
"P13942","P02452","io"
"P13942","Q5TAT6","io"
"P13942","Q9P218","io"
"P13942","A6NMZ7","io"
"P13942","Q86Y22","io"
"P13942","P25940","io"
"P13942","Q17RW2","io"
"P13942","P39059","io"
"P13942","P12107","io"
"P13942","A8TX70","io"
"P13942","P39060","io"
"P13942","Q03692","io"
"P13942","P12110","io"
"P13942","Q14993","io"
"P13942","P12109","io"
"P13942","P29400","io"
"P13942","Q07092","io"
"Q96A83","Q05707","io"
"Q96A83","Q96P44","io"
"Q96A83","Q8IZC6","io"
"Q96A83","P39060","io"
"Q96A83","P12109","io"
"Q96A83","A6NMZ7","io"
"Q96A83","Q86Y22","io"
"Q96A83","Q9UMD9","io"
"Q96A83","Q07092","io"
"Q96A83","P02462","io"
"Q96A83","P39059","io"
"Q96A83","Q99715","io"
"Q96A83","Q17RW2","io"
"Q96A83","Q14050","io"
"Q96A83","P20849","io"
"Q96A83","Q01955","io"
"Q96A83","P05997","io"
"Q96A83","P02458","io"
"Q96A83","Q14993","io"
"Q96A83","P02452","io"
"Q96A83","P29400","io"
"Q96A83","P08572","io"
"Q96A83","Q8NFW1","io"
"Q96A83","A8TX70","io"
"Q96A83","Q5TAT6","io"
"Q96A83","P12111","io"
