"from","to","type"
"Q01718","P01189","io"
"P46663","P01042","io"
"P46663","P30411","io"
"P30411","P01042","io"
"P30411","P46663","io"
"P01189","Q01718","io"
"P68871","P69905","io"
"P68871","P00738","io"
"P00738","P69905","io"
"P00738","P68871","io"
"P69905","P00738","io"
"P69905","P68871","io"
"P01042","P30411","io"
"P01042","P46663","io"
"Q93100","P06737","co"
"Q93100","P11217","co"
"P46019","P06737","co"
"P46020","P11217","co"
"P29120","P01189","co"
"P15735","P06737","co"
"Q16816","P11217","co"
"Q9NV23","P49327","co"
